code,term
N99,"rối loạn sau can thiệp của hệ sinh dục tiết niệu, không phân loại mục khác"
O00,thai ngoài tử cung
O01,thai trứng dạng nang
O02,bất thường khác của mô được tạo ra do thụ thai
O03,sảy thai tự nhiên
O04,phá thai bằng thuốc
O05,phá thai khác
O06,sảy/phá thai không xác định
O07,phá thai thất bại
O08,"biến chứng sau sảy thai, thai ngoài tử cung và/hoặc thai trứng"
O10,"tăng huyết áp mắc từ trước gây biến chứng cho thai kỳ, sinh đẻ và/hoặc thời kỳ sau đẻ"
O11,tiền sản giật kèm tăng huyết áp mạn tính
O12,phù và/ hoặc protein niệu trong thai kỳ [do thai nghén gây ra] không kèm tăng huyết áp
O13,tăng huyết áp thai kỳ [do mang thai gây ra]
O14,tiền sản giật
O15,sản giật
O16,tăng huyết áp thai sản không xác định
O20,xuất huyết đầu thai kỳ
O21,nôn quá mức trong thai kỳ
O22,biến chứng tĩnh mạch và/hoặc trĩ trong thai kỳ
O23,nhiễm trùng đường tiết niệu- sinh dục trong thai kỳ
O24,đái tháo đường trong thai kỳ
O25,thiếu dinh dưỡng trong thai kỳ
O26,chăm sóc thai sản đối với bệnh lý khác chủ yếu liên quan đến thai kỳ
O28,phát hiện bất thường ở thai phụ khi khám sàng lọc trước sinh
O29,biến chứng do gây mê trong thai kỳ
O30,multiple gestation đa thai
O31,biến chứng xác định của đa thai
O32,chăm sóc thai sản vì biết hoặc nghi ngờ ngôi thai bất thường
O33,chăm sóc thai sản vì biết hay nghi ngờ có bất tương xứng đầu chậu
O34,chăm sóc thai sản vì có hoặc nghi ngờ bất thường ở cơ quan tiểu khung
O35,chăm sóc thai sản vì biết hoặc nghi ngờ có bất thường và/hoặc tổn thương ở thai nhi
O36,chăm sóc thai sản vì biết hoặc nghi ngờ có vấn đề khác ở thai nhi
O40,đa ối
O41,rối loạn khác của nước ối và/hoặc màng ối
O42,vỡ ối sớm
O43,placental disorders rối loạn của rau thai
O44,rau tiền đạo
O46,"xuất huyết trước đẻ, không phân loại mục khác"
O47,chuyển dạ giả
O48,thai kỳ quá ngày sinh
O60,chuyển dạ và đẻ sớm
O61,can thiệp gây chuyển dạ nhân tạo thất bại
O62,bất thường về động lực chuyển dạ
O63,chuyển dạ kéo dài
O64,chuyển dạ đình trệ do ngôi và/hoặc do thế của thai bất thường
O65,chuyển dạ đình trệ do bất thường ở khung chậu sản phụ
O66,chuyển dạ đình trệ khác
O67,chuyển dạ và đẻ kèm biến chứng xuất huyết trong đẻ không phân loại mục khác
O68,chuyển dạ và đẻ kèm biến chứng suy thai
O69,chuyển dạ và đẻ kèm biến chứng dây rốn
O70,rách tầng sinh môn trong đẻ
O71,chấn thương sản khoa khác
O72,băng huyết sau đẻ
O73,sót rau thai và/hoặc màng rau thai không có băng huyết
O74,biến chứng do gây mê trong chuyển dạ và đẻ
O75,"biến chứng khác của chuyển dạ và đẻ, không phân loại mục khác"
O80,đẻ thường một thai
O81,đẻ một thai bằng forcep hoặc giác hút
O82,mổ lấy thai cho một thai
O83,đẻ một thai có can thiệp hỗ trợ khác
O84,đẻ đa thai
O85,nhiễm trùng hệ thống trong thời kỳ sau đẻ
O86,nhiễm trùng khác trong thời kỳ sau đẻ
O87,biến chứng tĩnh mạch và/hoặc trĩ trong thời kỳ sau đẻ
O88,mạch sản khoa
O89,biến chứng do gây mê trong thời kỳ sau đẻ
O90,"biến chứng trong thời kỳ sau đẻ, không phân loại mục khác"
O91,nhiễm trùng vú liên quan đến sinh đẻ
O92,rối loạn khác của vú và/hoặc tiết sữa liên quan đến sinh đẻ
O94,"di chứng của biến chứng thai kỳ, sinh đẻ và/hoặc thời kỳ sau đẻ"
O95,tử vong sản khoa không rõ nguyên nhân
O96,tử vong vì bất kỳ nguyên nhân sản khoa nào xảy ra trên 42 ngày và dưới 1 năm sau đẻ
O97,tử vong vì di chứng có nguyên nhân sản khoa
O97,"note: this category is to be used to indicate death from any obstetric cause (conditions in categories o00-o75, o85-o92, and o98-o99 occurring more than 42 days but less than one year after delivery. the ‘sequelae’ include conditions specified as such or as late effects, or those present one year or more after delivery. use additional code, if desired, to identify the obstetric cause (direct or indirect) excl.: conditions specified as sequelae or late effects of obstetric causes that are not resulting in death (o94)"
O98,"bệnh nhiễm trùng và/hoặc ký sinh trùng ở người mẹ phân loại mục khác có gây biến chứng cho thai kỳ, sinh đẻ và/hoặc thời kỳ sau đẻ"
O99,"bệnh thai sản khác phân loại mục khác có gây biến chứng cho thai kỳ, sinh đẻ và/hoặc thời kỳ sau đẻ"
P00,thai nhi và/hoặc trẻ sơ sinh bị ảnh hưởng do bệnh lý của mẹ có thể không liên quan đến lần mang thai hiện nay
P01,thai nhi và/hoặc trẻ sơ sinh bị ảnh hưởng do biến chứng ở thai phụ trong thai kỳ
P02,"thai nhi và/hoặc trẻ sơ sinh bị ảnh hưởng do biến chứng của rau thai, dây rốn và/hoặc màng thai"
P03,thai nhi và/hoặc trẻ sơ sinh bị ảnh hưởng do biến chứng của chuyển dạ và đẻ
P04,thai nhi và/hoặc trẻ sơ sinh bị ảnh hưởng do chất độc hại truyền qua rau thai hoặc qua sữa mẹ
P05,thai nhi chậm phát triển và/hoặc thai suy dinh dưỡng
P07,"rối loạn liên quan đến sinh non và/hoặc nhẹ cân lúc sinh, không phân loại mục khác"
P08,rối loạn liên quan đến thai già tháng và/hoặc trẻ nặng cân khi sinh
P10,rách và/hoặc xuất huyết nội sọ do chấn thương khi sinh
P11,chấn thương khi sinh khác ở hệ thần kinh trung ương
P12,tổn thương da đầu khi sinh
P13,chấn thương hệ xương khi sinh
P14,chấn thương hệ thần kinh ngoại biên khi sinh
P15,khác khi sinh
P20,hạ oxy huyết trong tử cung
P21,ngạt trong khi sinh
P22,suy hô hấp ở trẻ sơ sinh
P23,viêm phổi bẩm sinh
P24,hội chứng hít phải ở trẻ sơ sinh
P25,tràn khí tổ chức kẽ phổi và/hoặc bệnh lý liên quan xuất phát trong thời kỳ chu sinh
P26,xuất huyết phổi trong thời kỳ chu sinh
P27,bệnh hô hấp mạn tính xuất phát trong thời kỳ chu sinh
P28,bệnh lý hô hấp khác xuất phát từ thời kỳ chu sinh
P29,rối loạn tim mạch xuất phát trong thời kỳ chu sinh
P35,bệnh nhiễm virus bẩm sinh
P36,nhiễm khuẩn hệ thống ở trẻ sơ sinh
P37,bệnh nhiễm trùng và/hoặc ký sinh trùng bẩm sinh khác
P38,viêm rốn ở trẻ sơ sinh có hoặc không có chảy máu mức độ nhẹ
P39,nhiễm trùng khác đặc trưng của thời kỳ chu sinh
P50,mất máu thai nhi
P51,xuất huyết rốn ở trẻ sơ sinh
P52,xuất huyết nội sọ không do chấn thương ở thai nhi và/hoặc ở trẻ sơ sinh
P53,bệnh xuất huyết của thai nhi và/hoặc trẻ sơ sinh
P54,xuất huyết khác ở trẻ sơ sinh
P55,bệnh tan máu ở thai nhi và/hoặc ở trẻ sơ sinh
P56,phù thai do bệnh tan máu
P57,vàng da nhân xám
P58,vàng da sơ sinh do tan máu quá mức
P59,vàng da sơ sinh do các nguyên nhân khác và/hoặc không xác định
P60,bệnh đông máu rải rác nội mạch của thai nhi và/hoặc trẻ sơ sinh
P61,rối loạn huyết học chu sinh khác
P70,rối loạn chuyển hóa carbon hydrat tạm thời đặc trưng ở thai nhi và/hoặc trẻ sơ sinh
P71,rối loạn chuyển hóa calci và/hoặc magie tạm thời ở trẻ sơ sinh
P72,rối loạn nội tiết tạm thời khác ở trẻ sơ sinh
P74,rối loạn điện giải và/hoặc chuyển hóa tạm thời khác ở trẻ sơ sinh
P75,tắc ruột phân su do bệnh xơ nang (e84.1)
P76,tắc nghẽn ruột non khác ở trẻ sơ sinh
P77,viêm ruột hoại tử ở thai nhi và/hoặc trẻ sơ sinh
P78,rối loạn khác của hệ tiêu hóa ở thời kỳ chu sinh
P80,hạ thân nhiệt ở trẻ sơ sinh
P81,rối loạn điều nhiệt khác ở trẻ sơ sinh
P83,bệnh lý khác của da đặc trưng của thai nhi và/hoặc trẻ sơ sinh
P90,cơn co giật ở trẻ sơ sinh
P91,rối loạn khác của tình trạng não trẻ sơ sinh
P92,rối loạn ăn uống ở trẻ sơ sinh
P93,phản ứng và/hoặc ngộ độc thuốc dùng cho thai nhi và/hoặc trẻ sơ sinh
P94,rối loạn trương lực cơ ở trẻ sơ sinh
P95,thai chết không rõ nguyên nhân
P96,bệnh lý khác xuất phát trong thời kỳ chu sinh
Q00,dị tật khuyết não và dị tật tương tự
Q01,dị tật thoát vị não
Q02,dị tật đầu nhỏ
Q03,bệnh não úng thủy bẩm sinh
Q04,dị tật bẩm sinh khác của não
Q05,dị tật bẩm sinh nứt đốt sống [cột sống chẻ đôi] [gai đôi cột sống]
Q06,dị tật bẩm sinh khác của tủy sống
Q07,dị tật bẩm sinh khác của hệ thần kinh
Q10,"dị tật bẩm sinh của mi mắt, hệ lệ và/hoặc hốc mắt"
Q11,"dị tật không có nhãn cầu, mắt bé, mắt to"
Q12,dị tật bẩm sinh của thủy tinh thể
Q13,dị tật bẩm sinh bán phần trước của mắt
Q14,dị tật bẩm sinh phần sau của mắt
Q15,dị tật bẩm sinh khác của mắt
Q16,dị tật bẩm sinh ở tai gây suy giảm thính lực
Q17,dị tật bẩm sinh khác ở tai
Q18,dị tật bẩm sinh khác của mặt và/hoặc cổ
Q20,dị tật bẩm sinh của buồng tim và bộ phận nối
Q21,dị tật bẩm sinh của vách tim
Q22,dị tật bẩm sinh của van động mạch phổi và/hoặc van ba lá
Q23,dị tật bẩm sinh của van động mạch chủ và/hoặc van hai lá
Q24,dị tật bẩm sinh khác của tim
Q25,dị tật bẩm sinh của động mạch lớn
Q26,dị tật bẩm sinh của tĩnh mạch lớn
Q27,dị tật bẩm sinh khác của hệ thống mạch máu ngoại vi
Q28,dị tật bẩm sinh khác của hệ thống tuần hoàn
Q30,dị tật bẩm sinh ở mũi
Q31,dị tật bẩm sinh của thanh quản
Q32,dị tật bẩm sinh ở khí quản và/hoặc phế quản
Q33,dị tật bẩm sinh của phổi
Q34,dị tật bẩm sinh khác của hệ hô hấp
Q35,khe hở vòm miệng
Q36,khe hở môi
Q37,khe hở vòm miệng kết hợp khe hở môi
Q38,"dị tật bẩm sinh khác của lưỡi, miệng và/hoặc họng"
Q39,dị tật bẩm sinh của thực quản
Q40,dị tật bẩm sinh khác của đường tiêu hóa trên
Q41,"dị tật thiếu, teo và/hoặc hẹp ruột non bẩm sinh"
Q42,"dị tật thiếu, teo và/hoặc hẹp đại tràng bẩm sinh"
Q43,dị tật bẩm sinh khác của ruột
Q44,"dị tật bẩm sinh của túi mật, đường [ống] mật và/hoặc gan"
Q45,dị tật bẩm sinh khác của hệ tiêu hóa
Q50,"dị tật bẩm sinh của buồng trứng, vòi trứng và/hoặc dây chằng rộng"
Q51,dị tật bẩm sinh của tử cung và/hoặc cổ tử cung
Q52,dị tật bẩm sinh khác của cơ quan sinh dục nữ
Q53,dị tật tinh hoàn ẩn [lạc chỗ]
Q54,dị tật bẩm sinh lỗ tiểu lệch thấp
Q54,excl.: epispadias (q64.0) dị tật bẩm sinh lỗ tiểu
Q55,dị tật bẩm sinh khác của cơ quan sinh dục nam
Q56,giới tính chưa định hình chính xác và/hoặc hội chứng giả lưỡng giới
Q60,dị tật bất sản và/hoặc khuyết thiếu khác của thận
Q61,bệnh nang thận
Q62,dị tật tắc nghẽn bẩm sinh của bể thận và dị tật bẩm sinh của niệu quản
Q63,dị tật bẩm sinh khác của thận
Q64,dị tật bẩm sinh khác của hệ tiết niệu
Q65,dị dạng bẩm sinh của khớp háng
Q66,dị dạng bẩm sinh của bàn chân
Q67,"dị dạng cơ xương bẩm sinh của đầu, mặt, cột sống và/hoặc ngực"
Q68,dị dạng cơ xương bẩm sinh khác
Q69,dị tật thừa ngón
Q70,dị tật dính ngón
Q71,dị tật bẩm sinh thiếu hụt chi trên
Q71,khuyết tật thiếu hụt của chi trên
Q72,dị tật bẩm sinh thiếu hụt chi dưới
Q72,khuyết tật thiếu hụt của chi dưới
Q73,dị tật thiếu hụt của chi không xác định
Q74,dị tật bẩm sinh khác của chi
Q75,dị tật bẩm sinh khác của xương sọ và xương mặt
Q76,dị tật bẩm sinh của xương sống và/hoặc xương lồng ngực
Q77,loạn sản xương sụn có khuyết tật phát triển xương dài và/hoặc cột sống
Q78,loạn sản xương sụn khác
Q79,"dị tật bẩm sinh của hệ cơ xương, không phân loại mục khác"
Q80,bệnh da vảy cá bẩm sinh
Q81,bệnh ly thượng bì bọng nước bẩm sinh
Q82,dị tật bẩm sinh khác của da
Q83,dị tật bẩm sinh của vú
Q84,dị tật bẩm sinh khác của hệ vỏ bọc [da]
Q85,"hội chứng u thần kinh - da ngoại bì, không phân loại mục khác"
Q86,"hội chứng dị tật bẩm sinh do nguyên nhân bên ngoài đã biết, không phân loại mục khác"
Q87,hội chứng dị tật bẩm sinh khác tác động nhiều hệ thống
Q89,"dị tật bẩm sinh khác, không phân loại mục khác"
Q90,hội chứng down
Q91,hội chứng edwards và/hoặc hội chứng patau
Q92,"thể tam nhiễm sắc thể thường hoàn toàn và/hoặc một phần khác, không phân loại mục khác"
Q93,"thể đơn nhiễm sắc thể thường và/hoặc mất đoạn nhiễm sắc thể thường, không phân loại mục khác"
Q95,"đột biến cấu trúc nhiễm sắc thể không gây mất cân bằng gen và/hoặc cá thể bình thường có dấu ấn đột biến cấu trúc, không phân loại ở mục khác"
Q96,hội chứng turner
Q97,"bất thường nhiễm sắc thể giới tính khác, kiểu hình nữ, không phân loại mục khác"
Q98,"bất thường nhiễm sắc thể giới tính khác, kiểu hình nam không phân loại mục khác"
Q99,bất thường nhiễm sắc thể khác không phân loại mục khác
R00,nhịp tim bất thường
R01,tiếng thổi của tim và/hoặc các âm thanh khác của tim
R02,"hoại thư, không phân loại mục khác"
R03,"chỉ số huyết áp bất thường, không có chẩn đoán"
R04,chảy máu đường hô hấp
R06,nhịp thở bất thường
R07,đau họng và/hoặc đau ngực
R09,triệu chứng và/hoặc dấu hiệu khác liên quan đến hệ tuần hoàn và/hoặc hệ hô hấp
R10,đau vùng bụng và/hoặc chậu
R11,buồn nôn và/hoặc nôn
R12,ợ nóng [đau rát ngực]
R13,khó nuốt
R14,đầy hơi và/hoặc tình trạng liên quan
R15,đại tiện không tự chủ
R16,"gan to và/hoặc lá lách to, không phân loại mục khác"
R17,"tăng bilirubin máu, có hoặc không vàng da, không phân loại mục khác"
R18,chứng cổ trướng
R19,triệu chứng và/hoặc dấu hiệu khác liên quan tới hệ tiêu hóa và/hoặc bụng
R20,rối loạn cảm giác da
R21,ban da và/hoặc phát ban không xác định cụ thể
R22,"sưng cục bộ, khối và/hoặc u ở da và/hoặc mô dưới da"
R23,của da
R25,vận động không tự chủ bất thường
R26,bất thường về dáng đi và/hoặc vận động
R27,thiếu phối hợp vận động khác
R29,triệu chứng và/hoặc dấu hiệu khác liên quan tới hệ thần kinh và/hoặc cơ xương khớp
R30,đau liên quan với tiểu tiện
R31,tiểu máu không xác định
R32,tiểu tiện không tự chủ không xác định
R33,bí tiểu
R34,và/hoặc thiểu niệu
R35,đa niệu
R36,dịch tiết từ niệu đạo
R39,triệu chứng và/hoặc dấu hiệu khác liên quan tới hệ tiết niệu
R40,"buồn ngủ, ngẩn ngơ và/hoặc hôn mê"
R41,triệu chứng và/hoặc dấu hiệu khác liên quan đến chức năng nhận thức và/hoặc tri giác
R42,hoa mắt và/hoặc chóng mặt
R43,rối loạn khứu giác và/hoặc vị giác
R44,triệu chứng và/hoặc dấu hiệu khác về cảm giác và/hoặc tri giác
R45,triệu chứng và/hoặc dấu hiệu về trạng thái cảm xúc
R46,triệu chứng và/hoặc dấu hiệu khác liên quan đến diện mạo bên ngoài và/hoặc hành vi
R47,"rối loạn ngôn ngữ, không phân loại mục khác"
R48,"chứng khó đọc và/hoặc các rối loạn chức năng biểu đạt khác, không phân loại mục khác"
R49,rối loạn giọng nói
R50,sốt không rõ nguyên nhân và/hoặc sốt khác
R51,đau đầu
R52,"đau, không phân loại mục khác"
R53,khó chịu và/hoặc mệt mỏi
R54,suy yếu do tuổi già
R55,ngất và/hoặc ngã quỵ
R56,"co giật, không phân loại mục khác"
R57,"sốc, không phân loại mục khác"
R58,"xuất huyết, không phân loại mục khác"
R59,chứng phì đại hạch bạch huyết
R60,"phù, không phân loại mục khác"
R61,tăng tiết mồ hôi
R62,phát triển sinh lý không bình thường như kỳ vọng
R63,triệu chứng và/hoặc dấu hiệu liên quan đến ăn uống thức ăn và/hoặc đồ uống
R64,suy mòn
R65,hội chứng đáp ứng viêm hệ thống [sirs]
R68,triệu chứng và/hoặc dấu hiệu toàn thể khác
R69,nguyên nhân mắc bệnh không xác định và/hoặc không rõ
R70,tăng tốc độ lắng hồng cầu và/hoặc độ nhớt huyết tương bất thường
R71,bất thường về hồng cầu
R72,"bất thường bạch cầu, không phân loại mục khác"
R73,tăng nồng độ đường huyết
R74,nồng độ enzym huyết thanh bất thường
R75,bằng chứng cận lâm sàng của virus gây suy giảm miễn dịch ở người [hiv]
R76,phát hiện miễn dịch khác bất thường trong huyết thanh
R77,bất thường khác của protein huyết tương
R78,"phát hiện ma túy và/hoặc chất khác, không thường có trong máu"
R79,phát hiện sinh hóa máu bất thường khác
R80,protein niệu đơn độc
R81,glucoza niệu
R82,phát hiện bất thường khác trong nước tiểu
R83,phát hiện bất thường trong dịch não tủy
R84,phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan hô hấp và/hoặc lồng ngực
R85,phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hóa và/hoặc ổ bụng
R86,phát hiện bất thường trong mẫu bệnh phẩm của cơ quan sinh dục nam
R87,phát hiện bất thường trong mẫu bệnh phẩm của cơ quan sinh dục nữ
R89,"phát hiện bất thường trong mẫu bệnh phẩm của các cơ quan, hệ thống và/hoặc mô khác"
R90,phát hiện bất thường của chẩn đoán hình ảnh ở hệ thần kinh trung ương
R91,phát hiện bất thường của chẩn đoán hình ảnh ở phổi
R92,phát hiện bất thường của chẩn đoán hình ảnh ở ngực
R93,phát hiện bất thường của chẩn đoán hình ảnh ở cơ quan khác
R94,kết quả bất thường của thăm dò chức năng
R95,hội chứng đột tử ở trẻ sơ sinh
R96,"đột tử khác, không rõ nguyên nhân"
R98,tử vong một mình [không ai biết]
R99,nguyên nhân tử vong không rõ ràng và/hoặc không xác định khác
S00,tổn thương nông ở đầu
S01,vết thương hở ở đầu
S02,vỡ xương sọ và/hoặc gãy xương mặt
S03,"trật khớp, giãn dây chằng [bong gân] và/hoặc căng cơ ở khớp và/hoặc dây chằng của đầu"
S04,tổn thương dây thần kinh sọ
S05,tổn thương mắt và/hoặc hốc mắt
S06,tổn thương nội sọ
S07,tổn thương dập nát ở đầu
S08,đứt rời một phần của đầu do chấn thương
S09,tổn thương khác và/hoặc không xác định ở đầu
S10,tổn thương nông ở cổ
S11,vết thương hở ở cổ
S11,excl.: decapitation (s18) vết thương hở ở cổ
S12,gãy cổ
S13,"trật khớp, giãn dây chằng [bong gân] và/hoặc căng cơ ở khớp và/hoặc dây chằng vùng cổ"
S14,"tổn thương dây thần kinh và/hoặc tủy sống, vùng cổ"
S15,"tổn thương mạch máu, vùng cổ"
S16,"tổn thương cơ và/hoặc gân, vùng cổ"
S17,tổn thương dập nát ở cổ
S18,đứt rời vùng cổ do chấn thương
S19,tổn thương khác và/hoặc không xác định ở cổ
S20,tổn thương nông ở ngực
S21,vết thương hở ở ngực
S22,"gãy xương sườn, xương ức và/hoặc cột sống ngực"
S23,"trật khớp, giãn dây chằng [bong gân] và/hoặc căng cơ ở khớp và/hoặc dây chằng ngực"
S24,"tổn thương dây thần kinh và/hoặc tủy sống, vùng ngực"
S25,tổn thương mạch máu ở ngực
S25,tổn thương mạch máu của ngực
S26,tổn thương tim
S27,tổn thương nội tạng khác và/hoặc không xác định trong khoang ngực
S28,tổn thương dập nát và/hoặc đứt rời phần của ngực do chấn thương
S29,tổn thương khác và/hoặc không xác định ở ngực
S30,"tổn thương nông ở bụng, thắt lưng và/hoặc vùng chậu"
S31,"vết thương hở ở bụng, thắt lưng và/hoặc vùng chậu"
S32,gãy cột sống thắt lưng và/hoặc khung chậu
S33,"trật khớp, giãn dây chằng [bong gân] và/hoặc căng cơ ở khớp và/hoặc dây chằng cột sống thắt lưng và/hoặc vùng chậu"
S34,"tổn thương dây thần kinh và/hoặc tủy sống thắt lưng, vùng bụng, thắt lưng và/hoặc chậu"
S35,"tổn thương mạch máu, vùng bụng, thắt lưng và/hoặc chậu"
S36,tổn thương tạng trong ổ bụng
S37,tổn thương tạng của hệ tiết niệu và/hoặc vùng chậu
S38,"tổn thương dập nát và/hoặc đứt rời do chấn thương ở một phần của bụng, thắt lưng và/hoặc vùng chậu"
S39,"tổn thương khác và/hoặc không xác định ở vùng bụng, thắt lưng và/hoặc chậu"
S40,tổn thương nông ở vai và/hoặc cánh tay trên
S41,vết thương hở ở vai và/hoặc cánh tay trên
S42,"gãy xương vùng vai [xương đòn, vai] và/hoặc xương cánh tay trên"
S43,"trật khớp, giãn dây chằng [bong gân] và/hoặc căng cơ ở khớp và/hoặc dây chằng của vòng ngực [xương đòn, vai, cánh tay trên và khớp liên quan]"
S44,"tổn thương dây thần kinh, vùng vai và cánh tay trên"
S45,"tổn thương mạch máu, vùng vai và cánh tay trên"
S46,"tổn thương cơ và/hoặc gân, vùng vai và cánh tay trên"
S47,tổn thương dập nát vai và/hoặc cánh tay trên
S48,đứt rời vai và/hoặc cánh tay trên do chấn thương
S49,tổn thương khác và/hoặc không xác định ở vai và/hoặc cánh tay trên
S50,tổn thương nông ở cẳng tay
S51,vết thương hở ở cẳng tay
S52,gãy xương cẳng tay
S53,"trật khớp, giãn dây chằng [bong gân] và/hoặc căng cơ ở khớp và/hoặc dây chằng khuỷu tay"
S54,"tổn thương dây thần kinh, tầm cẳng tay"
S55,"tổn thương mạch máu, tầm cẳng tay"
S56,"tổn thương cơ và/hoặc gân, tầm cẳng tay"
S57,tổn thương dập nát ở cẳng tay
S58,đứt rời cẳng tay do chấn thương
S59,tổn thương khác và/hoặc không xác định của cẳng tay
S60,tổn thương nông ở cổ tay và/hoặc bàn tay
S61,vết thương hở ở cổ tay và/hoặc bàn tay
S62,"gãy xương, tầm cổ tay và bàn tay"
S63,"trật khớp, giãn dây chằng [bong gân] và/hoặc căng cơ khớp và/hoặc dây chằng, tầm cổ tay và bàn tay"
S64,"tổn thương dây thần kinh, tầm cổ tay và bàn tay"
S65,"tổn thương mạch máu, tầm cổ tay và bàn tay"
S66,"tổn thương cơ bắp và/hoặc gân, tầm cổ tay và bàn tay"
S67,tổn thương dập nát cổ tay và/hoặc bàn tay
S68,đứt rời cổ tay và/hoặc bàn tay do chấn thương
S69,tổn thương khác và/hoặc không xác định ở cổ tay và/hoặc bàn tay
S70,tổn thương nông ở hông và/hoặc đùi
S71,vết thương hở ở hông và/hoặc đùi
S72,gãy xương đùi
S73,"trật khớp, giãn dây chằng [bong gân] và/hoặc căng cơ khớp háng"
S74,"tổn thương dây thần kinh, tầm hông và đùi"
S75,"tổn thương mạch máu, tầm hông và đùi"
S76,"tổn thương cơ và/hoặc gân, tầm hông và đùi"
S77,tổn thương dập nát ở hông và/hoặc đùi
S78,đứt rời hông và/hoặc đùi do chấn thương
S79,tổn thương khác và/hoặc không xác định ở hông và/hoặc đùi
S80,tổn thương nông tại cẳng chân
S80,tổn thương nông ở cẳng chân
S81,vết thương hở ở cẳng chân
S82,"gãy xương cẳng chân, bao gồm cổ chân"
S83,"trật khớp, giãn dây chằng [bong gân] và/hoặc căng cơ ở khớp và/hoặc dây chằng đầu gối"
S84,"tổn thương dây thần kinh, tầm cẳng chân"
S85,"tổn thương mạch máu, tầm cẳng chân"
S86,"tổn thương cơ và/hoặc gân, tầm cẳng chân"
S87,tổn thương dập nát cẳng chân
S88,đứt rời cẳng chân do chấn thương
S89,tổn thương khác và/hoặc không xác định ở cẳng chân
S90,tổn thương nông ở cổ chân và/hoặc bàn chân
S91,vết thương hở ở cổ chân và/hoặc bàn chân
S92,"gãy xương bàn chân, trừ cổ chân"
S93,"trật khớp, giãn dây chằng [bong gân], căng cơ khớp và/hoặc dây chằng tầm cẳng chân và bàn chân"
S94,"tổn thương dây thần kinh, tầm cổ chân và bàn chân"
S95,tổn thương mạch máu tầm cổ chân và bàn chân
S96,"tổn thương cơ và/hoặc gân, tầm cổ chân và bàn chân"
S97,tổn thương dập nát cổ chân và/hoặc bàn chân
S98,đứt rời cổ chân và/hoặc bàn chân do chấn thương
S99,tổn thương khác và/hoặc không xác định ở cổ chân và/hoặc bàn chân
T00,tổn thương nông tác động đến nhiều vùng cơ thể
T01,vết thương hở tác động đến nhiều vùng cơ thể
T02,gãy xương tác động đến nhiều vùng cơ thể
T03,"trật khớp, giãn dây chằng [bong gân] và/hoặc căng cơ ở nhiều vùng cơ thể"
T04,tổn thương dập nát tác động đến nhiều vùng cơ thể
T05,đứt rời do chấn thương tác động đến nhiều vùng cơ thể
T06,"tổn thương khác tác động đến nhiều vùng cơ thể, không phân loại mục khác"
T07,đa tổn thương không xác định
T07,excl.: injury nos (t14.9) đa tổn thương không xác
T08,"gãy cột sống, đoạn không xác định"
T09,"tổn thương khác ở cột sống và/hoặc thân, vùng không xác định"
T10,"gãy xương chi trên, tầm chi không xác định"
T11,"tổn thương khác ở chi trên, tầm không xác định"
T12,"gãy xương chi dưới, tầm chi không xác định"
T13,"tổn thương khác ở chi dưới, tầm không xác định"
T14,tổn thương ở vùng cơ thể không xác định
T15,dị vật ở mắt ngoài
T16,dị vật ở tai
T17,dị vật đường hô hấp
T18,dị vật đường tiêu hóa
T19,dị vật đường sinh dục - tiết niệu
T20,bỏng và/hoặc ăn mòn ở đầu và/hoặc cổ
T21,bỏng và/hoặc ăn mòn tại thân
T22,"bỏng và/hoặc ăn mòn tại vai và/hoặc chi trên, trừ cổ tay và bàn tay"
T23,bỏng và/hoặc ăn mòn tại cổ tay và/hoặc bàn tay
T24,"bỏng và/hoặc ăn mòn tại hông và/hoặc chi dưới, trừ cổ chân và bàn chân"
T25,bỏng và/hoặc ăn mòn tại cổ chân và/hoặc bàn chân
T26,bỏng và/hoặc ăn mòn giới hạn tại mắt và/hoặc cấu trúc phụ cận của mắt
T27,bỏng và/hoặc ăn mòn đường hô hấp
T28,bỏng và/hoặc ăn mòn nội tạng khác
T29,bỏng và/hoặc ăn mòn nhiều vùng cơ thể
T30,"bỏng và/hoặc ăn mòn, vùng cơ thể không xác định"
T31,phân loại bỏng theo diện tích bề mặt cơ thể bị tổn thương
T32,phân loại ăn mòn theo diện tích bề mặt cơ thể bị tổn thương
T33,bỏng lạnh nông
T34,bỏng lạnh có hoại tử mô
T35,bỏng lạnh tác động đến nhiều vùng cơ thể và/hoặc bỏng lạnh không xác định
T36,ngộ độc kháng sinh toàn thân
T37,ngộ độc do thuốc chống nhiễm trùng và/hoặc thuốc chống ký sinh trùng toàn thân khác
T38,"ngộ độc do nội tiết tố [hormon] và/hoặc chất tổng hợp thay thế và/hoặc đối kháng của chúng, không phân loại mục khác"
T39,"ngộ độc do thuốc giảm đau, hạ nhiệt và/hoặc chống viêm khớp dạng thấp không có chất dạng thuốc phiện"
T40,ngộ độc chất ma túy và/hoặc chất gây ảo giác
T41,ngộ độc chất gây tê/gây tê và/hoặc khí trị liệu
T42,"ngộ độc thuốc chống động kinh, thuốc an thần - gây ngủ và/hoặc thuốc chống hội chứng parkison"
T43,"ngộ độc thuốc hướng thần, không phân loại mục khác"
T44,ngộ độc do thuốc tác động chủ yếu đến hệ thần kinh tự động
T45,"ngộ độc tác nhân chủ yếu tác động toàn thân và/hoặc huyết học, không phân loại mục khác"
